พระสุตตันตปิฎก~~0001
ขุททกนิกาย  คาถาธรรมบท~~0001
คาถาธรรมบท~~0001
มลวรรคที่  ๑๘~~0001
๑๘.  มลวรรควรรณนา~~0005
๑๓.  เรื่องพราหมณ์คนใดคนหนึ่ง  [๒๗๖]~~0455
๑๔.  เรื่องอุคคเสน   [๒๗๗]~~0457
๑๕.  เรื่องพราหมณ์  ๒  คน  [๒๗๘]~~0459
๑๖. เรื่องอักโกสกภารทวาชพราหมณ์ [๒๗๙]~~0461
๑๗.  เรื่องพระสารีบุตรเถระ  [๒๘๐]~~0465
๑๘.  เรื่องพระอุบลวรรณาเถรี [๒๘๑]~~0468
๑๙. เรื่องพราหมณ์คนใดคนหนึ่ง  [๒๘๒]~~0470
๒๐. เรื่องพระเขมาภิกษุณี  [๒๘๓]~~0472
๒๑. เรื่องพระติสสเถระอยู่ในเงื้อมเขา  [๒๘๔]~~0474
๒๒. เรื่องภิกษุรูปใดรูปหนึ่ง  [๒๘๕]~~0480
๒๓.  เรื่องสามเณร  [๒๘๖]~~0483
๒๔.  เรื่องพระมหาปันถกเถระ  [๒๘๗]~~0489
๒๕. เรื่องพระปิลินทวัจฉเถระ  [๒๘๘]~~0491
๒๖. เรื่องภิกษุรูปใดรูปหนึ่ง  [๒๘๙]~~0493
๒๗. เรื่องพระสารีบุตรเถระ  [๒๙๐]~~0496
๒๘. เรื่องพระมหาโมคคัลลานเถระ  [๒๙๑]~~0498
๒๙.  เรื่องพระเรวตเถระ  [๒๙๒]~~0500
๓๐. เรื่องพระจันทาภเถระ  [๒๙๓]~~0502
๓๑.  เรื่องพระสีวลีเถระ  [๒๙๔]~~0509
๓๒.  เรื่องพระสุนทรสมุทรเถระ  [๒๙๕]~~0512
๓๓.เรื่องพระโชติกเถระ  [๒๙๖]~~0519
๓๔. เรื่องภิกษุผู้เคยเป็นนักฟ้อนรูปที่ ๑ [๒๙๗]~~0553
๓๕. เรื่องภิกษุผู้เคยเป็นนักฟ้อนรูปที่  ๒ [๒๙๘]~~0555
๓๖. เรื่องพระวังคีสเถระ  [๒๙๙]~~0557
๓๗. เรื่องพระธรรมทินนาเถรี [๓๐๐]~~0562
๓๘. เรื่องพระอังคุลิมาลเถระ [๓๐๑]~~0565
๓๙. เรื่องเทวหิตพราหมณ์ [๓๐๒]~~0567
รวมวรรคที่มีในคาถาธรรมบท  คือ~~0570
อรรถกถา~~0571
รวมเรื่องทั้งหมด~~0571
คำอุทิศของผู้เรียบเรียง~~0572
พรรณนาคุณสมบัติของผู้เรียบเรียงคัมภีร์นี้~~0573
